2025-04-29 11:50:20 - INFO - Script started
2025-04-29 11:50:20 - INFO - Upload required. Starting upload process...
2025-04-29 11:50:24 - INFO - Successfully uploaded: D:/mobbo1/PLUTO-HOMER/Assets/data\configdata.csv to 1/Pluto/configdata.csv
2025-04-29 11:50:26 - INFO - Successfully uploaded: D:/mobbo1/PLUTO-HOMER/Assets/data\applog\29-04-2025-09-40-45-application.log to 1/Pluto/applog/29-04-2025-09-40-45-application.log
2025-04-29 11:50:28 - INFO - Successfully uploaded: D:/mobbo1/PLUTO-HOMER/Assets/data\applog\29-04-2025-09-40-45-plutocomm.log to 1/Pluto/applog/29-04-2025-09-40-45-plutocomm.log
2025-04-29 11:50:29 - INFO - Successfully uploaded: D:/mobbo1/PLUTO-HOMER/Assets/data\applog\29-04-2025-09-41-55-application.log to 1/Pluto/applog/29-04-2025-09-41-55-application.log
2025-04-29 11:50:31 - INFO - Successfully uploaded: D:/mobbo1/PLUTO-HOMER/Assets/data\applog\29-04-2025-09-41-55-plutocomm.log to 1/Pluto/applog/29-04-2025-09-41-55-plutocomm.log
2025-04-29 11:50:33 - INFO - Successfully uploaded: D:/mobbo1/PLUTO-HOMER/Assets/data\applog\29-04-2025-09-42-46-application.log to 1/Pluto/applog/29-04-2025-09-42-46-application.log
2025-04-29 11:50:35 - INFO - Successfully uploaded: D:/mobbo1/PLUTO-HOMER/Assets/data\applog\29-04-2025-09-42-46-plutocomm.log to 1/Pluto/applog/29-04-2025-09-42-46-plutocomm.log
2025-04-29 11:50:37 - INFO - Successfully uploaded: D:/mobbo1/PLUTO-HOMER/Assets/data\applog\29-04-2025-09-45-03-application.log to 1/Pluto/applog/29-04-2025-09-45-03-application.log
2025-04-29 11:50:39 - INFO - Successfully uploaded: D:/mobbo1/PLUTO-HOMER/Assets/data\applog\29-04-2025-09-45-03-plutocomm.log to 1/Pluto/applog/29-04-2025-09-45-03-plutocomm.log
2025-04-29 11:50:41 - INFO - Successfully uploaded: D:/mobbo1/PLUTO-HOMER/Assets/data\applog\29-04-2025-09-50-21-application.log to 1/Pluto/applog/29-04-2025-09-50-21-application.log
2025-04-29 11:50:43 - INFO - Successfully uploaded: D:/mobbo1/PLUTO-HOMER/Assets/data\applog\29-04-2025-09-50-21-plutocomm.log to 1/Pluto/applog/29-04-2025-09-50-21-plutocomm.log
2025-04-29 11:50:45 - INFO - Successfully uploaded: D:/mobbo1/PLUTO-HOMER/Assets/data\applog\29-04-2025-09-51-14-application.log to 1/Pluto/applog/29-04-2025-09-51-14-application.log
2025-04-29 11:50:47 - INFO - Successfully uploaded: D:/mobbo1/PLUTO-HOMER/Assets/data\applog\29-04-2025-09-51-14-plutoaan.log to 1/Pluto/applog/29-04-2025-09-51-14-plutoaan.log
2025-04-29 11:50:50 - INFO - Successfully uploaded: D:/mobbo1/PLUTO-HOMER/Assets/data\applog\29-04-2025-09-51-14-plutocomm.log to 1/Pluto/applog/29-04-2025-09-51-14-plutocomm.log
